# seg	start	stop	duration
0	1398304824	1398340931	36107.0
1	1398345390	1398351588	6198.0
2	1398364650	1398366836	2186.0
3	1398371810	1398372580	770.0
4	1398387369	1398397809	10440.0
5	1398402919	1398407075	4156.0
6	1398407519	1398430984	23465.0
7	1398435699	1398453245	17546.0
8	1398453618	1398453861	243.0
9	1398457566	1398460802	3236.0
10	1398463110	1398472837	9727.0
11	1398475678	1398485079	9401.0
12	1398486924	1398488674	1750.0
13	1398490220	1398520939	30719.0
14	1398556355	1398573311	16956.0
15	1398577263	1398604804	27541.0
16	1398610012	1398612618	2606.0
17	1398626809	1398629438	2629.0
18	1398633354	1398643813	10459.0
19	1398646270	1398661166	14896.0
20	1398666649	1398670404	3755.0
21	1398682603	1398700861	18258.0
22	1398712423	1398712574	151.0
23	1398713505	1398721794	8289.0
24	1398727506	1398732869	5363.0
25	1398737027	1398740964	3937.0
26	1398745406	1398832932	87526.0
27	1398833085	1398834427	1342.0
28	1398834911	1398835259	348.0
29	1398835791	1398870455	34664.0
30	1398871428	1398889990	18562.0
31	1398892685	1398897662	4977.0
32	1398897828	1398899769	1941.0
